"tab_code","表章項目","cat01_code","労働力状態３区分_時系列","cat02_code","男女_時系列","area_code","地域_時系列","time_code","時間軸（調査年）","unit","value"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1950000000","1950年","人","2729860"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1955000000","1955年","人","3022822"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1960000000","1960年","人","3357727"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1965000000","1965年","人","3709677"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1970000000","1970年","人","3874800"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1975000000","1975年","人","4024535"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1980000000","1980年","人","4275535"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1985000000","1985年","人","4460216"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1990000000","1990年","人","4599598"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","1995000000","1995年","人","4787795"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2000000000","2000年","人","4864454"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2005000000","2005年","人","4901756"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2010000000","2010年","人","4840237"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2015000000","2015年","人","4749191"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2020000000","2020年","人","4609750"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2015000010","2015年_不詳補完値","人","4749191"
"320","15歳以上人口","100","総数","100","総数","01000","北海道","2020000010","2020年_不詳補完値","人","4609750"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1950000000","1950年","人","814467"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1955000000","1955年","人","858324"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1960000000","1960年","人","913209"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1965000000","1965年","人","969523"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1970000000","1970年","人","1030637"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1975000000","1975年","人","1088293"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1980000000","1980年","人","1157302"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1985000000","1985年","人","1185876"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1990000000","1990年","人","1192580"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","1995000000","1995年","人","1228056"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2000000000","2000年","人","1251760"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2005000000","2005年","人","1237418"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2010000000","2010年","人","1196355"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2015000000","2015年","人","1148807"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2020000000","2020年","人","1089110"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2015000010","2015年_不詳補完値","人","1148807"
"320","15歳以上人口","100","総数","100","総数","02000","青森県","2020000010","2020年_不詳補完値","人","1089110"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1950000000","1950年","人","869970"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1955000000","1955年","人","904294"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1960000000","1960年","人","946735"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1965000000","1965年","人","981597"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1970000000","1970年","人","1009265"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1975000000","1975年","人","1047071"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1980000000","1980年","人","1095788"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1985000000","1985年","人","1125811"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1990000000","1990年","人","1146789"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","1995000000","1995年","人","1180431"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2000000000","2000年","人","1203165"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2005000000","2005年","人","1190210"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2010000000","2010年","人","1156278"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2015000000","2015年","人","1121459"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2020000000","2020年","人","1063175"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2015000010","2015年_不詳補完値","人","1121459"
"320","15歳以上人口","100","総数","100","総数","03000","岩手県","2020000010","2020年_不詳補完値","人","1063175"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1950000000","1950年","人","1082706"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1955000000","1955年","人","1107460"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1960000000","1960年","人","1158698"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1965000000","1965年","人","1249496"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1970000000","1970年","人","1370389"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1975000000","1975年","人","1493642"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1980000000","1980年","人","1600186"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1985000000","1985年","人","1694277"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1990000000","1990年","人","1802208"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","1995000000","1995年","人","1933054"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2000000000","2000年","人","2010982"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2005000000","2005年","人","2028599"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2010000000","2010年","人","2022432"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2015000000","2015年","人","1998562"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2020000000","2020年","人","1985829"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2015000010","2015年_不詳補完値","人","1998562"
"320","15歳以上人口","100","総数","100","総数","04000","宮城県","2020000010","2020年_不詳補完値","人","1985829"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1950000000","1950年","人","841253"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1955000000","1955年","人","855109"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1960000000","1960年","人","877651"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1965000000","1965年","人","906678"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1970000000","1970年","人","938090"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1975000000","1975年","人","958631"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1980000000","1980年","人","993387"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1985000000","1985年","人","1003559"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1990000000","1990年","人","1007413"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","1995000000","1995年","人","1024665"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2000000000","2000年","人","1026016"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2005000000","2005年","人","1002481"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2010000000","2010年","人","960083"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2015000000","2015年","人","908538"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2020000000","2020年","人","858255"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2015000010","2015年_不詳補完値","人","908538"
"320","15歳以上人口","100","総数","100","総数","05000","秋田県","2020000010","2020年_不詳補完値","人","858255"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1950000000","1950年","人","896816"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1955000000","1955年","人","886620"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1960000000","1960年","人","898088"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1965000000","1965年","人","914531"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1970000000","1970年","人","937741"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1975000000","1975年","人","954253"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1980000000","1980年","人","989205"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1985000000","1985年","人","1005744"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1990000000","1990年","人","1023777"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","1995000000","1995年","人","1048068"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2000000000","2000年","人","1057690"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2005000000","2005年","人","1048943"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2010000000","2010年","人","1015832"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2015000000","2015年","人","983689"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2020000000","2020年","人","938373"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2015000010","2015年_不詳補完値","人","983689"
"320","15歳以上人口","100","総数","100","総数","06000","山形県","2020000010","2020年_不詳補完値","人","938373"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1950000000","1950年","人","1331414"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1955000000","1955年","人","1323889"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1960000000","1960年","人","1330416"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1965000000","1965年","人","1374795"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1970000000","1970年","人","1437905"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1975000000","1975年","人","1496517"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1980000000","1980年","人","1568305"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1985000000","1985年","人","1619503"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1990000000","1990年","人","1679409"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","1995000000","1995年","人","1751780"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","2000000000","2000年","人","1785297"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","2005000000","2005年","人","1782594"
"320","15歳以上人口","100","総数","100","総数","07000","福島県","2010000000","2010年","人","1740909"
